@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
2.396620582,0.816530402,1.670275379,2.981330255,0.382502528,9.991736704,3.330940993,2.814300314,9.534708608,23.98904686,25.41158447,0.066092368,1787.953727
2.474798085,0.73518635,1.766379807,2.750135686,0.388696239,10.44200717,3.199601631,2.805456577,10.61061193,23.89188037,26.39453632,0.064406569,1857.785232
2.333063572,0.861973476,1.907218754,3.230317658,0.386346895,10.6754319,3.401458563,2.821832654,10.03298482,22.80898694,28.7242217,0.063603227,1782.644751
3.313749409,1.261004664,2.074160997,1.918766759,0.396880213,10.58743383,3.185527706,3.02479446,10.70631662,18.0077831,28.32363032,0.060966352,1787.642565
3.320104561,1.379304794,2.02983399,1.831125682,0.382502528,8.810895093,3.438390703,2.966151051,9.534708608,23.98904686,25.41158447,0.066092368,1665.604955
3.276112932,1.215680442,2.051882068,1.935422739,0.373058423,9.396608032,3.479615608,3.035875362,8.064440639,23.97982752,27.12511552,0.061741643,1526.256223
3.238395112,1.26057089,2.066378139,1.978150062,0.396458288,9.023583399,3.208986875,3.159302166,9.20025157,23.96841439,26.38191305,0.069671542,1617.102755
3.201098229,1.233694075,2.153986722,1.94702484,0.357779083,9.633473269,3.254243591,3.035470091,8.329641486,23.95875782,24.04648856,0.062150129,1632.466224
3.300243052,1.297635587,2.096019662,1.949618069,0.39532431,9.434251605,3.400319404,3.179106894,10.45972472,23.94479518,26.83626058,0.053108379,1720.230748
3.207750643,1.31487502,2.030174397,1.968222305,0.358271543,9.566335172,3.327546184,2.980734668,10.51935119,23.92996561,26.85834498,0.054584735,1739.539512
3.453181398,1.234946739,2.057672317,1.886973651,0.377109861,9.283117231,3.645262731,2.978201209,10.68040795,23.92385267,25.51071439,0.066210512,1772.17132
3.111836136,1.2636942,2.026029459,1.898229244,0.370154358,9.586533738,3.244939215,2.99601678,8.444575571,23.90833991,28.86763794,0.063033159,1567.314736
3.1943834,1.229924074,2.116902696,1.922526817,0.377345913,8.68179579,3.294012359,3.08585067,9.638001221,23.89518165,28.80766665,0.069843786,1629.627103
2.538011343,0.724493127,1.665589874,2.920762608,0.393200927,10.88269946,3.187261303,2.829474176,8.60909194,22.79362814,28.41176862,0.064065843,1672.408445
3.422623045,1.268626143,2.142871103,1.689126548,0.388696239,9.207951779,3.302814587,2.956830133,10.61061193,23.89188037,26.39453632,0.064406569,1738.552548
3.161870991,1.320451338,2.071695332,1.854064816,0.389210756,9.32905392,3.544319454,3.021658426,9.973721815,23.87164574,27.58742179,0.054944378,1673.55567
3.167925935,1.264066397,2.055009065,1.974655627,0.387740882,9.224237746,3.270629078,3.05659486,9.948791569,23.8641219,26.19036422,0.051881901,1693.436813
3.2284271,1.380440605,2.05340732,1.917338545,0.398186918,8.864727179,3.20999781,3.00721519,7.920004274,23.84949829,24.14621034,0.06298218,1568.597223
3.347435088,1.247080732,2.092580145,1.986518416,0.399425563,9.694225512,3.243687612,2.970069708,8.543468759,23.83330168,25.75105887,0.05968298,1610.985022
3.132172968,1.212860776,2.045003479,1.944390499,0.396739822,9.498622832,3.218666128,3.1056393,9.700645025,23.82922531,26.96941141,0.050065531,1668.722778
3.149358057,1.238614274,2.05649443,1.939853883,0.369979293,9.153202624,3.277959734,3.016899678,9.135203744,23.81459999,26.66191993,0.055705868,1615.864707
3.224834862,1.410607225,2.055674303,1.842190597,0.381629462,9.287142824,3.455473876,2.975209488,10.55729567,23.80453283,27.4596922,0.060909371,1722.119141
3.657897053,1.324994551,2.156288715,1.97383338,0.376060389,9.38181956,3.344797461,2.998250104,10.36023542,23.78507155,25.50717586,0.063571589,1749.008632
3.095004613,1.261852004,2.185114358,1.953827366,0.38577227,9.196595488,3.23673985,2.938387065,9.715516318,23.78377944,24.55072637,0.054077226,1729.552873
2.423295159,0.746268973,1.816468101,3.05193325,0.397592335,10.97211589,3.22410634,2.944937172,8.311314685,22.77695331,28.49658171,0.06151768,1647.130618
3.099258512,1.354611773,2.152473446,1.912764863,0.374405645,9.222084483,3.28734778,3.133949372,8.374549776,23.76636278,24.56193736,0.050755668,1598.090512
3.302701988,1.21591691,2.102776004,1.985124619,0.399013164,9.22819486,3.302241876,3.188828609,9.79266407,23.75467176,28.526039,0.052967601,1656.721471
3.120142542,1.278249612,2.091082481,1.826026204,0.392298527,9.490154013,3.221419585,3.165019548,9.689772322,23.74243424,26.64152016,0.067631494,1660.637485
3.210073939,1.208259106,2.332966288,1.986172879,0.382111749,9.603165242,3.415671236,3.021126609,8.98171962,23.72714972,27.71117165,0.066154134,1604.464457
3.280268803,1.349932347,2.061138657,1.975779213,0.376392777,9.542443254,3.225196403,3.206044027,9.452618348,23.71591642,25.07536597,0.054097631,1685.99203
3.100085912,1.400339674,2.028039419,1.909286588,0.392188434,9.192357961,3.317573757,3.140526545,9.02757691,23.70083049,28.95819575,0.060026093,1592.271831
3.112132144,1.292822837,2.233418865,1.963432211,0.385613748,8.910189494,3.412687597,2.948560825,9.464573665,23.68860778,27.67397217,0.062816863,1624.201755
3.255177517,1.205649523,2.011992079,1.947303155,0.392907333,9.509774824,3.281690758,3.106168962,9.574855438,23.68270568,26.51317793,0.057377203,1660.419045
3.408039377,1.416087707,2.036484358,1.887984636,0.388420059,9.360027721,3.325617401,3.109012248,10.71568975,23.66557982,24.50778684,0.054130827,1797.388262
3.111264578,1.251585085,2.14467128,1.81266511,0.371739864,9.652948513,3.283518153,3.010287632,8.627247353,23.65618376,25.95277673,0.055868566,1598.872118
2.360604259,0.748836655,1.796582499,3.225287447,0.396814381,10.42036021,3.118899677,3.058830189,8.141483472,22.76952324,25.53601896,0.057551846,1666.54852
3.14399174,1.300126164,2.074671786,1.925210474,0.393910054,9.631996244,3.242552691,2.965486001,9.070294962,23.64045249,25.54455582,0.056225715,1655.239773
3.186557299,1.329840818,2.047762983,1.902168135,0.373197498,9.615630093,3.201991405,3.020404962,9.326746454,23.63693183,28.41227571,0.056095691,1638.628646
3.48312191,1.336199394,2.144253696,1.928474745,0.393053153,9.52365921,3.375362813,3.099215226,7.985419077,23.6210226,25.15158382,0.052835187,1562.319905
3.114284439,1.304458858,2.120075193,1.900164046,0.391187911,9.047322448,3.260234696,3.033897037,9.042339742,23.61514062,25.19690173,0.055521813,1641.553644
3.156700895,1.252760234,2.013642496,1.981471471,0.38999313,9.665500531,3.363094966,3.137342213,8.738541255,23.6020142,25.5807431,0.056542509,1617.556058
3.465265914,1.224417448,2.015663075,1.950785764,0.387187351,9.211487321,3.296855636,3.043000878,10.38029459,23.58120192,26.45009429,0.062946903,1717.276688
3.256217604,1.245850806,2.183134064,1.922217166,0.39411829,9.667955668,3.223995764,3.006251914,9.340001605,23.56871459,25.16354536,0.052011609,1691.019732
3.273324988,1.270640758,2.05997922,1.925679781,0.397868916,9.628689631,3.224814634,3.066877986,8.666178734,23.56430078,25.66091412,0.057719025,1611.244028
3.317954538,1.357028478,2.064890061,1.835531197,0.395353717,9.464095146,3.384720782,3.163532608,10.5159673,23.55517959,27.50179844,0.068180197,1713.455339
3.327124297,1.258022901,2.109796629,1.856520906,0.383221483,9.291081051,3.225890922,3.020869863,10.88077922,23.53869008,24.84582121,0.069307339,1812.662539
2.229182423,0.745296413,1.848887504,3.076280437,0.369626774,10.28963674,3.388568737,2.925045415,8.753433362,22.75536567,23.8842622,0.063238746,1739.157539
3.226349907,1.211891261,2.134597794,1.943181266,0.399316775,9.346392054,3.269723001,3.215751008,9.99567823,23.52479841,23.82149397,0.061353106,1754.837172
3.612623231,1.448157375,2.27036086,1.976721203,0.387794417,9.624485061,3.283915087,3.013665487,9.115366309,23.50804828,23.68837886,0.052744409,1692.211756
3.403468502,1.266794206,2.066954548,1.919264603,0.388607971,9.342942394,3.235829589,2.964612729,9.553886652,23.49937796,27.85185989,0.063849819,1643.969893
3.133538852,1.287776644,2.034473339,1.898828254,0.389400515,9.683584472,3.213756898,3.136575464,8.780232321,23.48533509,27.54402422,0.067289165,1583.472439
3.604324017,1.259556312,2.08734035,1.939790455,0.377529808,9.43193507,3.398417309,3.051720513,8.619964081,23.47990829,26.04501639,0.058471896,1583.180529
3.174951077,1.216861316,2.108309378,1.933229081,0.361594996,9.593532311,3.550212735,3.143302635,8.087841192,23.46459231,25.52571696,0.05746704,1555.709233
3.190395281,1.257053098,2.033583981,1.968085085,0.394153845,9.576157186,3.350291329,3.31659996,10.6902991,23.44975484,26.59948995,0.050326333,1739.388915
3.137517465,1.236170442,2.103456749,1.949184497,0.396244793,9.44886855,3.283087712,3.080477668,9.956032238,23.44460479,24.85716243,0.066722494,1739.248307
3.258172853,1.312910231,2.107354826,1.892914732,0.387307931,9.138312287,3.267801474,2.942510545,9.250380025,23.43391174,28.94727263,0.054831729,1619.630503
3.356809623,1.262698444,2.254895564,1.929201498,0.396326173,9.543327469,3.530200918,3.028774408,8.368769044,23.41353377,28.45868072,0.065138532,1546.942934
2.320481914,0.85015046,1.729286445,3.127395344,0.386641827,10.67955109,3.110867378,3.012282256,8.352749322,22.75027325,26.5287516,0.0582418,1657.458067
3.333487325,1.252039169,2.126264423,1.968745859,0.393125642,9.122964444,3.275648632,3.153739188,10.05105199,23.40618533,25.00403125,0.056442599,1725.106134
3.211249195,1.239809888,2.125667957,1.987153267,0.397318751,9.426506242,3.242036905,3.057666129,9.274265376,23.38840143,24.99045397,0.053744416,1679.465231
3.247265314,1.386372411,2.290885225,1.859657527,0.399623265,9.641944353,3.408463932,3.130380033,8.761640571,23.38613607,27.35937492,0.053815169,1577.230936
3.263600498,1.249480795,2.21942992,1.928420182,0.398956714,9.060432681,3.277087078,3.081071207,10.59662732,23.36618541,26.72569564,0.061366833,1724.495029
3.099056816,1.290592455,2.100234032,1.93057816,0.379549911,9.046544562,3.508354474,2.945148,8.274174506,23.36391622,28.16945962,0.064251838,1527.949995
3.225522215,1.362683033,2.020947273,1.964669403,0.383618405,9.246090203,3.210675687,3.041606782,9.453491277,23.34854697,23.92121234,0.050467605,1701.733256
3.153323051,1.212297866,2.089261217,1.832540429,0.390318985,9.459162654,3.265465284,2.931252599,9.019704901,23.33820673,28.65207853,0.058895973,1611.590492
3.257170507,1.255909014,2.013916083,1.798148436,0.3819358,8.96433805,3.220946692,3.0460363,10.23132526,23.31831845,24.03782898,0.051287443,1753.13416
3.12642101,1.310729694,2.093161837,1.939524073,0.391273238,9.258751312,3.250866177,3.071275348,10.32605268,23.31051563,27.5151395,0.053030138,1701.341613
3.192827049,1.273311661,2.044497006,1.967589609,0.392052696,9.293239733,3.285319656,2.95918752,10.66063001,23.29612856,26.49290032,0.053126649,1748.299757
2.25557328,0.714908852,1.662824524,3.189350587,0.399586029,10.43560402,3.222997763,2.860495867,10.02540996,22.72971489,25.09814817,0.061213491,1843.357834
3.187838479,1.31001819,2.293094045,1.921648846,0.384197098,9.33423353,3.255787709,2.936896575,8.677279467,23.28752048,23.79332839,0.069112985,1649.081429
3.136218464,1.291835939,2.162191949,1.8685076,0.398775278,9.107615307,3.206429393,2.999584036,10.74390946,23.26932581,24.67982452,0.063063628,1798.388154
3.364102003,1.210334887,2.123537097,1.953315405,0.389377078,9.567604327,3.2224576,3.008094491,9.232235478,23.25919778,27.25128983,0.050007354,1627.52313
