"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.085724503098443,0.0933709148868557,0.0680541031290982,0.051253916671919,0.0485835761388661,0.0415079095920908,0.047115134134292
"WALL",0.0532517149284988,0.0901325605702099,0.0689477849747011,0.031838725929362,0.0468985671218929,0.0420529886328212,0.0402634272280253
"FLOOR",0.0538370415938323,0.066030129279363,0.0662821331108455,0.0321886875278142,0.0343573779606898,0.0404271404990355,0.0356577353291798
"WIN",0.0894336465186928,0.165888363838302,0.0707899629760283,0.0534715804776499,0.0863164933625883,0.0431765793410343,0.0609882177270908
"SHGC",0.0082204171871538,0.0751892009926275,0.0665033507980523,0.00491491419944369,0.0391231067583773,0.0405620667318202,0.0282000292298804
"LPD",0.289519150693644,0.287386559519981,0.163216697221146,0.173100920836324,0.149535503777005,0.0995499698133303,0.14072879814222
"HEATEFF",0.0306278288360323,0.0791490769104854,0.0659252571859898,0.0183121059937915,0.0411835442445993,0.0402094728942416,0.0332350410442108
"COP",0.121457488371328,0.167377558709661,0.0794488147699235,0.0726183502168084,0.0870913643436208,0.0484578308880646,0.0693891818161646
"EPD",0.734043672528827,0.630927236591267,0.763755494943309,0.438878172115357,0.328289612179128,0.46583369079791,0.411000491697465
"HSP",0.0272558505974644,0.0753834966835236,0.0682374338574042,0.0162960302463403,0.0392242044021516,0.0416197276154882,0.0323799874213267
"CSP",0.168039863333061,0.116250726464012,0.0924371232735334,0.10046953719805,0.0604886010510526,0.0563797270020921,0.0724459550837315
"OCC",0.0111342327871784,0.0747758890672304,0.0659472652924878,0.00665705858713988,0.0389080486600288,0.040222896192071,0.0285960011464132
