"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.0495234200630479,0.541299674790433,0.0687370154937591,0.0288672629585332,0.0729011748574439,0.042269829092235,0.0480127556360707
"WALL",0.0555722118123748,0.535155398837231,0.0673297476374888,0.0323931111690754,0.0720736758647461,0.0414044296950654,0.0486237389096289
"FLOOR",0.0709373824804205,0.52901238291168,0.065200784239102,0.0413494882026594,0.0712463465700923,0.0400952236094214,0.0508970194607244
"WIN",0.109954012643696,0.670961684086536,0.0699892191794388,0.0640923303013113,0.090363799078902,0.0430398717745094,0.0658320003849076
"SHGC",0.0037744615525442,0.540108269492674,0.0651035775821227,0.00220013831890957,0.0727407187367717,0.0400354463737118,0.0383254344764644
"LPD",0.302528038329845,0.763157353280958,0.172263496319121,0.176343968645112,0.102780530353761,0.105933440605975,0.12835264653495
"HEATEFF",0.0388769959059049,0.540223796790484,0.0653071723266957,0.022661449116899,0.0727562777258691,0.0401606469660762,0.0451927912696148
"COP",0.132812751560109,0.641516359069843,0.084648398412667,0.077416717558098,0.0863981606576203,0.0520545343456135,0.0719564708537773
"EPD",0.724609144399456,1.01872074866266,0.741156719896507,0.422375568708844,0.137199305464049,0.45577434015056,0.338449738107818
"HSP",0.0339275302532222,0.533512984701991,0.0657791248514606,0.0197763994511384,0.0718524787614819,0.0404508741808914,0.0440265841311706
"CSP",0.17729664956191,0.575185087426965,0.0950789340104573,0.103346436858658,0.0774647955407353,0.0584687924260957,0.0797600082751629
"OCC",0.0157438826385631,0.536262190506973,0.0655542229953452,0.00917712871076122,0.0722227363885269,0.0403125707798456,0.0405708119597112
