"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.0825989287999412,0.620650280565561,0.0645577128023464,0.0348774370511009,0.0744591487041143,0.042299559173809,0.0505453816430081
"WALL",0.0935860437080433,0.623734396074811,0.0645164357219128,0.0395167515573299,0.0748291487226668,0.0422725135702625,0.0522061379500864
"FLOOR",0.00134841076020415,0.617367962934611,0.0615652308250931,0.00056936708612716,0.0740653704617935,0.0403388226021629,0.0383245200500278
"WIN",0.108884105606225,0.615702792586378,0.0671418646485879,0.0459763654846483,0.073865600687318,0.0439927493317203,0.0546115718345622
"SHGC",0.0626970856844373,0.623103926952137,0.0620897845138052,0.0264738743106799,0.0747535116116746,0.0406825211136553,0.0473033023453366
"LPD",0.36916239460048,0.737774230936198,0.131578029637727,0.155878997056934,0.0885104589355601,0.0862126678445759,0.11020070794569
"HEATEFF",0.0473823442863228,0.618752116219069,0.0626769802125923,0.0200072174565657,0.0742314267393203,0.0410672639759605,0.0451019693906155
"COP",0.197620380696383,0.683005208455319,0.0823572999425663,0.083445299931754,0.0819398427335234,0.0539622197115555,0.0731157874589443
"EPD",0.79851646394006,1.20719915364735,0.517453056638572,0.33717395745884,0.144827166137749,0.339046029340681,0.273682384312423
"HSP",0.143266087800259,0.58661319473518,0.0885283106571726,0.0604941738519808,0.0703757340748812,0.0580055945703255,0.0629585008323958
"CSP",0.447071071278083,0.784831103684612,0.262272579094808,0.188775972914078,0.0941558518327194,0.171846461058099,0.151592761934965
"OCC",0.0161292555429644,0.616712537549575,0.0614656843967313,0.00681058583996143,0.0739867393586796,0.040273597707193,0.0403569743019447
