,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,,,,,
ROOF,0.013880716,0.657978738,0.068635634,0.741726194,7.402880998,4.158460531,4.101022574,,0.007417262,0.07402881,0.041584605,,0.007417262,0.07402881,0.041584605
WALL,0.013456648,0.657449017,0.068753374,0.719065829,7.396921134,4.165594093,4.093860352,,0.007190658,0.073969211,0.041655941,,0.007190658,0.073969211,0.041655941
FLOOR,0.00480618,0.65861751,0.068393926,0.256821735,7.41006778,4.143816051,3.936901855,,0.002568217,0.074100678,0.041438161,,0.002568217,0.074100678,0.041438161
WIN,0.006852717,0.656124296,0.068620804,0.366179954,7.382016783,4.157561981,3.968586239,,0.0036618,0.073820168,0.04157562,,0.0036618,0.073820168,0.04157562
SHGC,0.036177018,0.662545335,0.069370528,1.933145445,7.454259518,4.202985891,4.530130284,,0.019331454,0.074542595,0.042029859,,0.019331454,0.074542595,0.042029859
LPD,0.109445877,0.660554534,0.08268845,5.84832049,7.43186113,5.00988529,6.09668897,,0.058483205,0.074318611,0.050098853,,0.058483205,0.074318611,0.050098853
HEATEFF,0.009958728,0.657454307,0.068463428,0.532151915,7.396980652,4.148026992,4.025719853,,0.005321519,0.073969807,0.04148027,,0.005321519,0.073969807,0.04148027
COP,0.064027005,0.668508018,0.072715458,3.421329869,7.521345327,4.405646786,5.116107327,,0.034213299,0.075213453,0.044056468,,0.034213299,0.075213453,0.044056468
EPD,0.864715723,1.394989137,0.54069229,46.20671733,15.69494267,32.75918654,31.55361552,,0.462067173,0.156949427,0.327591865,,0.462067173,0.156949427,0.327591865
HSP,0.160654085,0.608401975,0.099601723,8.58466857,6.845095682,6.034617975,7.154794076,,0.085846686,0.068450957,0.06034618,,0.085846686,0.068450957,0.06034618
CSP,0.567928105,0.947133499,0.374367881,30.34765381,10.65614462,22.68200874,21.22860239,,0.303476538,0.106561446,0.226820087,,0.303476538,0.106561446,0.226820087
OCC,0.019504156,0.658387833,0.068202353,1.042218863,7.407483706,4.132209134,4.193970568,,0.010422189,0.074074837,0.041322091,,0.010422189,0.074074837,0.041322091
