,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.003087092,0.715914306,0.069726021,0.181866562,7.532573361,4.16849056,3.960976828,,0.001818666,0.075325734,0.041684906
WALL,0.006320739,0.715741959,0.069993224,0.372366915,7.530759984,4.184464985,4.029197295,,0.003723669,0.0753076,0.04184465
FLOOR,0.010970083,0.716276928,0.069674067,0.646268725,7.536388724,4.165384599,4.116014016,,0.006462687,0.075363887,0.041653846
WIN,0.006999883,0.715643848,0.069587027,0.412376621,7.529727698,4.160181003,4.034095107,,0.004123766,0.075297277,0.04160181
SHGC,0.023042488,0.716075314,0.070036652,1.357477362,7.534267415,4.187061333,4.359602037,,0.013574774,0.075342674,0.041870613
LPD,0.078281403,0.713744527,0.078945959,4.611708315,7.509743778,4.719694057,5.613715384,,0.046117083,0.075097438,0.047196941
HEATEFF,0.017019283,0.715668927,0.069698162,1.002638764,7.529991573,4.166825047,4.233151794,,0.010026388,0.075299916,0.04166825
COP,0.041532913,0.721669622,0.073352117,2.446783975,7.593128563,4.385272573,4.808395037,,0.02446784,0.075931286,0.043852726
EPD,0.908151852,1.47055564,0.665448106,53.50097589,15.47261752,39.78305554,36.25221632,,0.535009759,0.154726175,0.397830555
HSP,0.138413458,0.673420271,0.094370696,8.154203608,7.085467559,5.64184438,6.960505182,,0.081542036,0.070854676,0.056418444
CSP,0.447098031,0.912876076,0.272653847,26.33940672,9.604928895,16.30029906,17.41487822,,0.263394067,0.096049289,0.163002991
OCC,0.016531908,0.716658638,0.069206421,0.973926545,7.540404931,4.137426866,4.217252781,,0.009739265,0.075404049,0.041374269
