,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,,,,,
ROOF,0.028612981,0.722712148,0.061842348,1.339015556,7.493124486,3.957067949,4.26306933,,0.013390156,0.074931245,0.039570679,,0.013390156,0.074931245,0.039570679
WALL,0.049550029,0.722879785,0.062150843,2.318816793,7.494862551,3.976807444,4.596828929,,0.023188168,0.074948626,0.039768074,,0.023188168,0.074948626,0.039768074
FLOOR,0.000457575,0.723142974,0.06150856,0.021413348,7.497591315,3.935710085,3.818238249,,0.000214133,0.074975913,0.039357101,,0.000214133,0.074975913,0.039357101
WIN,0.041688176,0.718425843,0.061907473,1.950901816,7.448683808,3.961235101,4.453606909,,0.019509018,0.074486838,0.039612351,,0.019509018,0.074486838,0.039612351
SHGC,0.052742993,0.7283848,0.062421619,2.468239474,7.551938888,3.99413345,4.671437271,,0.024682395,0.075519389,0.039941334,,0.024682395,0.075519389,0.039941334
LPD,0.176893768,0.740096596,0.075882887,8.278183589,7.67336752,4.855471267,6.935674126,,0.082781836,0.076733675,0.048554713,,0.082781836,0.076733675,0.048554713
HEATEFF,0.037720679,0.723908328,0.0618887,1.765232941,7.505526552,3.960033855,4.410264449,,0.017652329,0.075055266,0.039600339,,0.017652329,0.075055266,0.039600339
COP,0.09567986,0.745858294,0.064799345,4.47757686,7.733105169,4.146275534,5.452319188,,0.044775769,0.077331052,0.041462755,,0.044775769,0.077331052,0.041462755
EPD,0.850310624,1.425719711,0.485725091,39.79239923,14.7819506,31.07979022,28.55138002,,0.397923992,0.147819506,0.310797902,,0.397923992,0.147819506,0.310797902
HSP,0.206533234,0.664877671,0.103230621,9.665236048,6.893493033,6.605353724,7.721360935,,0.09665236,0.06893493,0.066053537,,0.09665236,0.06893493,0.066053537
CSP,0.582514663,1.006700213,0.399782799,27.26022157,10.43753039,25.58065406,21.09280201,,0.272602216,0.104375304,0.255806541,,0.272602216,0.104375304,0.255806541
OCC,0.014162358,0.722297529,0.061692306,0.662762766,7.488825683,3.947467307,4.033018585,,0.006627628,0.074888257,0.039474673,,0.006627628,0.074888257,0.039474673
