,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.017441937,0.648069134,0.066448924,0.913111867,7.400837189,4.070869694,4.128272917,,0.009131119,0.074008372,0.040708697
WALL,0.02504648,0.647897439,0.0663309,1.311221204,7.398876463,4.06363917,4.257912279,,0.013112212,0.073988765,0.040636392
FLOOR,0.001850383,0.648751997,0.066578612,0.096870367,7.408635358,4.078814767,3.861440164,,0.000968704,0.074086354,0.040788148
WIN,0.017328596,0.645817024,0.066273606,0.907178278,7.375118474,4.060129139,4.114141964,,0.009071783,0.073751185,0.040601291
SHGC,0.055687011,0.656080623,0.067491315,2.915299478,7.492326999,4.134729826,4.847452101,,0.029152995,0.07492327,0.041347298
LPD,0.158829801,0.661809228,0.07836191,8.314980932,7.557746676,4.800696566,6.891141392,,0.083149809,0.075577467,0.048006966
HEATEFF,0.018224385,0.647989453,0.066735614,0.954074214,7.399927241,4.088433221,4.147478226,,0.009540742,0.073999272,0.040884332
COP,0.089557224,0.669298615,0.070024445,4.688456493,7.643274176,4.289917337,5.540549335,,0.046884565,0.076432742,0.042899173
EPD,0.883274512,1.404968055,0.585504459,46.24076019,16.04449167,35.86984116,32.71836434,,0.462407602,0.160444917,0.358698412
HSP,0.136563056,0.612325047,0.095682836,7.149283093,6.992645911,5.861830914,6.667919973,,0.071492831,0.069926459,0.058618309
CSP,0.48929134,0.86522344,0.33595753,25.61514365,9.880701723,20.5818129,18.69255276,,0.256151436,0.098807017,0.205818129
OCC,0.017069615,0.648470272,0.066912753,0.893620239,7.405418116,4.099285303,4.132774552,,0.008936202,0.074054181,0.040992853
