"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.0535738735404652,0.116029780177309,0.0620982364241695,0.027880323381231,0.0476762331004123,0.0394962625079,0.0383509396631811
"WALL",0.0530751990898925,0.140280414714637,0.0657398393498059,0.0276208087330429,0.0576407344833139,0.0418124265953634,0.0423579899372401
"FLOOR",0.0259377858495476,0.108987492904826,0.0621016637459586,0.0134982559499323,0.044782581754612,0.0394984423830281,0.0325930933625241
"WIN",0.145351880673792,0.204231405264534,0.0700289342588787,0.0756424198857777,0.083917974066117,0.0445404141873605,0.0680336027130851
"SHGC",0.0762668438256675,0.118074115594593,0.062211868676973,0.0396899482640431,0.0485162434127729,0.0395685358854471,0.0425915758540877
"LPD",0.271836477465041,0.342180362858467,0.142697120110272,0.14146613634005,0.140600720927801,0.0907594682158,0.124275441827884
"HEATEFF",0.0419115232498597,0.167694101029387,0.0683959783470834,0.0218111318891937,0.0689049228398405,0.0435018073110629,0.044739287346699
"COP",0.0712121254586807,0.17183995901914,0.0663298422547297,0.0370594275762642,0.0706084414677191,0.0421876853942465,0.0499518514794099
"EPD",0.719353351558635,0.601909037568056,0.682221905930783,0.37435792376817,0.24732232997845,0.433912733064261,0.351864328936961
"HSP",0.250587229737198,0.176629971496422,0.131233657766005,0.130407837600224,0.0725766409340266,0.0834683768085343,0.0954842851142615
"CSP",0.207195880038528,0.165044660962799,0.0967765902230748,0.107826590779733,0.0678162771317542,0.0615526918665009,0.0790651865926626
"OCC",0.00526354479887574,0.12080146039053,0.0624203811050941,0.00273919583233812,0.0496368999031805,0.0397011557804949,0.0306924171720045
