"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.0167796743430369,0.397862096029978,0.0661653229835034,0.00699676249374712,0.06953453751963,0.0429392889341829,0.0398235296491867
"WALL",0.0881429141771343,0.409859715994377,0.070213722636583,0.0367536951788378,0.0716313669584863,0.0455665775891173,0.0513172132421472
"FLOOR",0.0195838079560378,0.397659237666382,0.0661635359561357,0.00816602576368908,0.0694990838721592,0.0429381292075918,0.04020107961448
"WIN",0.118199102338852,0.40759883274912,0.0731163850422015,0.0492864777427726,0.0712362313765511,0.0474503175014022,0.0559910088735753
"SHGC",0.0410780610658273,0.408427268838119,0.0669068958445635,0.0171286659744087,0.0713810175245352,0.0434205472415707,0.0439767435801715
"LPD",0.480707479747767,0.650643158898134,0.248733904862829,0.200444656791483,0.113713197602226,0.161420764337468,0.158526206243726
"HEATEFF",0.134908967108416,0.421068000272204,0.0743153944423248,0.0562541311492159,0.0735902438442817,0.0482284382562806,0.0593576044165927
"COP",0.129191810827503,0.415331983970771,0.0789986006275167,0.0538702002206766,0.072587757694671,0.0512676971075439,0.0592418850076305
"EPD",0.625527610044411,0.736921433123574,0.40972876251906,0.260831529342416,0.128792090404837,0.265901546688401,0.218508388811884
"HSP",0.370408576741101,0.558477428339929,0.164746499075002,0.154452391871351,0.0976053514075974,0.106915483907489,0.119657742395479
"CSP",0.355819295372432,0.519328832738687,0.155545258294778,0.148368976031199,0.090763333741581,0.100944157560099,0.113358822444293
"OCC",0.0178582071862248,0.398613084162655,0.0662697388538398,0.00744648744020433,0.0696657880534443,0.043007051668853,0.0400397757208339
