"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.0637876698401451,0.0424114173413421,0.0700217555671423,0.0326535864314974,0.0261628477966299,0.0436557298170464,0.0341573880150579
"WALL",0.0633179187624517,0.075230288266235,0.0732338571216109,0.0324131158600658,0.0464082246005838,0.0456583450966981,0.0414932285191159
"FLOOR",0.0307687674852734,0.0428260050348831,0.0701261309378041,0.0157508592332793,0.0264185995588775,0.0437208036350943,0.0286300874757504
"WIN",0.115540532168762,0.153270942118,0.0764996498938032,0.0591464269343701,0.0945501136640958,0.0476944346769513,0.0671303250918057
"SHGC",0.0769784816844192,0.0643117237451832,0.0709391011688386,0.0394061032695955,0.0396727566622486,0.0442276576616448,0.041102172531163
"LPD",0.345470388607699,0.320822835799824,0.259681216530653,0.176849965239283,0.197909891932142,0.161900725504572,0.178886860891999
"HEATEFF",0.034421786783115,0.106295983822904,0.0782520097006697,0.0176208786535988,0.0655720987527759,0.0487869600735397,0.0439933124933048
"COP",0.0808836909590858,0.126487725439219,0.0804119566637631,0.0414052214205325,0.0780280244391256,0.0501335995611707,0.0565222818069429
"EPD",0.523719964596202,0.331450916141835,0.41950754950621,0.268097818476511,0.204466165355415,0.261545973663764,0.24470331916523
"HSP",0.308988424606165,0.162443168962115,0.17193982420276,0.158174459962162,0.10020829700061,0.107197519533607,0.121860092165459
"CSP",0.295260805070354,0.142826988093866,0.163232668212128,0.151147145559007,0.0881074244861027,0.101768960276228,0.113674510107113
"OCC",0.0143275378365412,0.0526770857447985,0.0701076644053047,0.00733441896009824,0.0324955557513932,0.0437092904996848,0.0278464217370588
